id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
56,2024-04-25,Cliente_020,Mouse,Periféricos,Sudeste,5,120.0
57,2024-11-18,Cliente_005,Monitor,Computadores,Sudeste,7,1200.0
58,2024-04-22,Cliente_008,Notebook,Computadores,Sudeste,7,3500.0
59,2024-08-25,Cliente_029,Monitor,Computadores,Centro-Oeste,3,1200.0
60,2024-08-06,Cliente_016,Teclado,Periféricos,Centro-Oeste,9,250.0
61,2024-11-22,Cliente_015,Tablet,Celulares,Sudeste,4,1800.0
62,2024-04-30,Cliente_008,Mouse,Periféricos,Centro-Oeste,5,120.0
63,2024-12-27,Cliente_002,Mouse,Periféricos,Sul,3,120.0
65,2024-07-18,Cliente_018,Tablet,Celulares,Norte,5,1800.0
66,2024-04-22,Cliente_026,Smartphone,Celulares,Centro-Oeste,8,2200.0
67,2024-08-27,Cliente_019,Mouse,Periféricos,Norte,3,120.0
68,2024-02-12,Cliente_013,Mouse,Periféricos,Nordeste,1,120.0
69,2024-06-16,Cliente_014,Smartphone,Celulares,Nordeste,8,2200.0
70,2024-01-10,Cliente_003,Notebook,Computadores,Sudeste,8,3500.0
71,2024-04-12,Cliente_004,Notebook,Computadores,Norte,4,3500.0
72,2024-12-24,Cliente_023,Smartphone,Celulares,Sudeste,8,2200.0
73,2024-02-25,Cliente_013,Smartphone,Celulares,Centro-Oeste,5,2200.0
74,2024-02-08,Cliente_010,Mouse,Periféricos,Norte,4,120.0
75,2024-01-22,Cliente_011,Notebook,Computadores,Sudeste,10,3500.0
76,2024-02-24,Cliente_005,Monitor,Computadores,Centro-Oeste,8,1200.0
77,2024-11-29,Cliente_014,Smartphone,Celulares,Norte,9,2200.0
78,2024-05-05,Cliente_015,Tablet,Celulares,Norte,6,1800.0
80,2024-11-01,Cliente_003,Tablet,Celulares,Sul,5,1800.0
81,2024-09-07,Cliente_015,Mouse,Periféricos,Sudeste,7,120.0
82,2024-04-23,Cliente_018,Notebook,Computadores,Norte,5,3500.0
83,2024-10-08,Cliente_004,Tablet,Celulares,Sul,7,1800.0
84,2024-10-01,Cliente_009,Tablet,Celulares,Norte,2,1800.0
85,2024-05-24,Cliente_010,Teclado,Periféricos,Sudeste,10,250.0
86,2024-03-05,Cliente_005,Mouse,Periféricos,Centro-Oeste,9,120.0
87,2024-10-20,Cliente_009,Notebook,Computadores,Centro-Oeste,1,3500.0
88,2024-07-24,Cliente_026,Notebook,Computadores,Norte,2,3500.0
89,2024-05-07,Cliente_008,Tablet,Celulares,Norte,2,1800.0
90,2024-08-14,Cliente_002,Monitor,Computadores,Norte,8,1200.0
91,2024-04-16,Cliente_018,Mouse,Periféricos,Sudeste,2,120.0
92,2024-07-28,Cliente_023,Smartphone,Celulares,Nordeste,1,2200.0
93,2024-02-06,Cliente_022,Mouse,Periféricos,Sul,8,120.0
94,2024-10-05,Cliente_002,Monitor,Computadores,Sul,2,1200.0
95,2024-10-18,Cliente_013,Tablet,Celulares,Nordeste,10,1800.0
96,2024-09-09,Cliente_020,Teclado,Periféricos,Nordeste,9,250.0
97,2024-04-27,Cliente_025,Notebook,Computadores,Nordeste,2,3500.0
98,2024-03-30,Cliente_019,Teclado,Periféricos,Centro-Oeste,1,250.0
99,2024-02-16,Cliente_006,Mouse,Periféricos,Nordeste,8,120.0
100,2024-05-27,Cliente_003,Monitor,Computadores,Nordeste,8,1200.0
101,2024-02-29,Cliente_022,Tablet,Celulares,Norte,6,1800.0
102,2024-01-28,Cliente_025,Monitor,Computadores,Sudeste,7,1200.0
103,2024-10-08,Cliente_001,Smartphone,Celulares,Norte,5,2200.0
104,2024-06-08,Cliente_030,Smartphone,Celulares,Sudeste,3,2200.0
105,2024-11-27,Cliente_009,Monitor,Computadores,Centro-Oeste,2,1200.0
106,2024-05-04,Cliente_024,Monitor,Computadores,Sul,8,1200.0
108,2024-12-03,Cliente_018,Teclado,Periféricos,Norte,10,250.0
109,2024-06-13,Cliente_028,Monitor,Computadores,Centro-Oeste,8,1200.0
110,2024-08-30,Cliente_027,Notebook,Computadores,Sul,6,3500.0
111,2024-03-05,Cliente_015,Monitor,Computadores,Sudeste,1,1200.0
112,2024-01-08,Cliente_016,Teclado,Periféricos,Nordeste,8,250.0
113,2024-12-20,Cliente_018,Tablet,Celulares,Centro-Oeste,10,1800.0
115,2024-11-20,Cliente_001,Monitor,Computadores,Sudeste,2,1200.0
116,2024-05-30,Cliente_022,Tablet,Celulares,Sul,1,1800.0
117,2024-02-10,Cliente_019,Smartphone,Celulares,Sul,3,2200.0
118,2024-11-22,Cliente_029,Smartphone,Celulares,Nordeste,8,2200.0
119,2024-03-21,Cliente_014,Mouse,Periféricos,Nordeste,9,120.0
120,2024-04-11,Cliente_012,Monitor,Computadores,Norte,5,1200.0
121,2024-01-12,Cliente_022,Tablet,Celulares,Sudeste,5,1800.0
122,2024-05-26,Cliente_007,Teclado,Periféricos,Norte,8,250.0
123,2024-11-17,Cliente_002,Tablet,Celulares,Norte,3,1800.0
124,2024-02-16,Cliente_026,Tablet,Celulares,Norte,3,1800.0
125,2024-09-13,Cliente_016,Tablet,Celulares,Nordeste,9,1800.0
126,2024-02-28,Cliente_022,Mouse,Periféricos,Centro-Oeste,6,120.0
128,2024-11-22,Cliente_029,Teclado,Periféricos,Norte,7,250.0
129,2024-04-23,Cliente_021,Tablet,Celulares,Centro-Oeste,10,1800.0
130,2024-01-24,Cliente_029,Notebook,Computadores,Norte,3,3500.0
131,2024-08-20,Cliente_019,Smartphone,Celulares,Sul,7,2200.0
132,2024-09-07,Cliente_007,Monitor,Computadores,Centro-Oeste,2,1200.0
133,2024-07-04,Cliente_012,Monitor,Computadores,Sudeste,4,1200.0
134,2024-04-07,Cliente_007,Monitor,Computadores,Norte,5,1200.0
135,2024-06-19,Cliente_025,Notebook,Computadores,Norte,1,3500.0
136,2024-04-20,Cliente_020,Smartphone,Celulares,Sudeste,10,2200.0
137,2024-03-07,Cliente_005,Tablet,Celulares,Sudeste,3,1800.0
138,2024-10-28,Cliente_017,Tablet,Celulares,Sudeste,4,1800.0
139,2024-08-31,Cliente_008,Mouse,Periféricos,Norte,2,120.0
140,2024-06-03,Cliente_013,Notebook,Computadores,Centro-Oeste,9,3500.0
141,2024-09-08,Cliente_005,Mouse,Periféricos,Sudeste,2,120.0
142,2024-11-15,Cliente_017,Smartphone,Celulares,Nordeste,5,2200.0
143,2024-11-05,Cliente_029,Monitor,Computadores,Norte,9,1200.0
144,2024-08-08,Cliente_014,Mouse,Periféricos,Sudeste,4,120.0
145,2024-06-09,Cliente_003,Tablet,Celulares,Sudeste,7,1800.0
146,2024-08-09,Cliente_019,Notebook,Computadores,Norte,2,3500.0
147,2024-12-09,Cliente_028,Teclado,Periféricos,Sudeste,6,250.0
148,2024-06-08,Cliente_008,Tablet,Celulares,Sudeste,10,1800.0
149,2024-07-07,Cliente_018,Tablet,Celulares,Norte,9,1800.0
150,2024-01-14,Cliente_009,Teclado,Periféricos,Nordeste,9,250.0
